title,authors,abstract,published_date,year,journal,url,pdf_url,categories,citation,citation_count,search_term,authors_raw,doi
Transformasi pendidikan Indonesia: Menerapkan potensi kecerdasan buatan (AI),G Yulianti; B Bernardi; N Permana…,… Dengan menggunakan pembelajaran mesin dan teknik pemrosesan bahasa … Indonesia. Bidang lain di mana AI dapat berkontribusi secara signifikan terhadap pendidikan di Indonesia …,2023,2023,Journal of Information …,https://jisma.org/index.php/jisma/article/view/1076,https://jisma.org/index.php/jisma/article/download/1076/190,Journal of Information …,"G Yulianti, B Bernardi, & N Permana…. (2023). Transformasi pendidikan Indonesia: Menerapkan potensi kecerdasan buatan (AI). *Journal of Information …*. https://jisma.org/index.php/jisma/article/view/1076",0,pembelajaran mesin,"G Yulianti, B Bernardi, N Permana… - Journal of Information …, 2023 - jisma.org",
Peran penting artificial intelegent dalam pengembangan metode pembelajaran bagi siswa di Indonesia,R Astagisa; RD Aldiansyah; MM Chusni,"… kecerdasan buatan di Indonesia bekembang pesat hingga 70% … mesin agar dapat berperilaku layaknya manusia atau istilah lainnya disebut cognitive tasks, yaitu bagaimana mesin …",2022,2022,2022,https://digilib.uinsgd.ac.id/67192/,,2022,"R Astagisa, RD Aldiansyah, & MM Chusni. (2022). Peran penting artificial intelegent dalam pengembangan metode pembelajaran bagi siswa di Indonesia. *2022*. https://digilib.uinsgd.ac.id/67192/",0,pembelajaran mesin,"R Astagisa, RD Aldiansyah, MM Chusni - 2022 - digilib.uinsgd.ac.id",
Efektivitas Penggunaan Teknologi Dalam Pembelajaran Bahasa Indonesia,A Mahyudi,… Dalam pelaksanaan pembelajaran bahasa Indonesia … pembelajaran agar lebih baik. Ada banyak teknologi yang dapat digunakan untuk menunjang pembelajaran bahasa Indonesia …,2023,2023,ARMADA: Jurnal Penelitian Multidisiplin,https://ejournal.45mataram.or.id/index.php/armada/article/view/393,https://ejournal.45mataram.or.id/index.php/armada/article/download/393/347,ARMADA: Jurnal Penelitian Multidisiplin,A Mahyudi. (2023). Efektivitas Penggunaan Teknologi Dalam Pembelajaran Bahasa Indonesia. *ARMADA: Jurnal Penelitian Multidisiplin*. https://ejournal.45mataram.or.id/index.php/armada/article/view/393,0,pembelajaran mesin,"A Mahyudi - ARMADA: Jurnal Penelitian Multidisiplin, 2023 - ejournal.45mataram.or.id",
QUESTION ANSWERING SYSTEM MENGGUNAKAN LARGE LANGUAGE MODELS (LLM) DAN LANGCHAIN (STUDI KASUS: UU KESEHATAN),ATUBR Lubis,"… Metode yang digunakan adalah Langchain dan Large Language Models (LLM). Langchain digunakan untuk memfasilitasi pembangunan chatbot, sementara LLM adalah jenis model …",2024,2024,MALCOM: Indonesian Journal of Machine …,http://repository.uin-suska.ac.id/79505/,http://repository.uin-suska.ac.id/79505/1/ANGGUN%20TRI%20UTAMI%20BR.%20LUBIS.pdf,MALCOM: Indonesian Journal of Machine …,ATUBR Lubis. (2024). QUESTION ANSWERING SYSTEM MENGGUNAKAN LARGE LANGUAGE MODELS (LLM) DAN LANGCHAIN (STUDI KASUS: UU KESEHATAN). *MALCOM: Indonesian Journal of Machine …*. http://repository.uin-suska.ac.id/79505/,0,LLM,"ATUBR Lubis - MALCOM: Indonesian Journal of Machine …, 2024 - repository.uin-suska.ac.id",
ANALISIS LLM UNTUK PENGENALAN DAN VALIDASI ODOMETER SEPEDA MOTOR: STUDI KASUS DI PT SURGANYA MOTOR INDONESIA,M Pilliang,… This research aims to develop a solution based on Large Language Models (LLM) to … Surganya Motor Indonesia. The methods used included a comparative study of four LLM models (…,2024,2024,Jurnal Ilmiah Sistem Informasi,http://simasi.lppmbinabangsa.id/index.php/home/article/view/228,http://simasi.lppmbinabangsa.id/index.php/home/article/download/228/105,Jurnal Ilmiah Sistem Informasi,M Pilliang. (2024). ANALISIS LLM UNTUK PENGENALAN DAN VALIDASI ODOMETER SEPEDA MOTOR: STUDI KASUS DI PT SURGANYA MOTOR INDONESIA. *Jurnal Ilmiah Sistem Informasi*. http://simasi.lppmbinabangsa.id/index.php/home/article/view/228,0,LLM,"M Pilliang - Jurnal Ilmiah Sistem Informasi, 2024 - simasi.lppmbinabangsa.id",
Peran Pemerintah Dalam Implementasi Artificial Intelligence (Ai) Di Kementerian Komunikasi Dan Informatika Republik Indonesia (Kemenkominfo Ri),W Simanjuntak; A Subagyo; D Sufianto,… artificial intelligence (AI) in the public sector in Indonesia has been formulated in the National Strategy for Artificial Intelligence … of the Republic of Indonesia (Kemenkominfo RI) plays an …,2024,2024,Journal of Social and Economics …,https://idm.or.id/JSER/index.php/JSER/article/view/332,https://idm.or.id/JSER/index.php/JSER/article/download/332/276,Journal of Social and Economics …,"W Simanjuntak, A Subagyo, & D Sufianto. (2024). Peran Pemerintah Dalam Implementasi Artificial Intelligence (Ai) Di Kementerian Komunikasi Dan Informatika Republik Indonesia (Kemenkominfo Ri). *Journal of Social and Economics …*. https://idm.or.id/JSER/index.php/JSER/article/view/332",0,artificial intelligence,"W Simanjuntak, A Subagyo, D Sufianto - Journal of Social and Economics …, 2024 - idm.or.id",
Analisis Dampak Kolaborasi Pemanfaatan Artificial Intelligences (AI) Dan Kecerdasan Manusia Terhadap Dunia Pendidikan Di Indonesia,A Ulimaz; D Cahyono; E Dhaniswara…,… artificial intelligence (AI) and human intelligence which has become the main driver in the transformation of education in Indonesia. … AI and human intelligence in the world of Indonesian …,2024,2024,Innovative: Journal Of …,http://j-innovative.org/index.php/Innovative/article/view/11544,http://j-innovative.org/index.php/Innovative/article/download/11544/7891,Innovative: Journal Of …,"A Ulimaz, D Cahyono, & E Dhaniswara…. (2024). Analisis Dampak Kolaborasi Pemanfaatan Artificial Intelligences (AI) Dan Kecerdasan Manusia Terhadap Dunia Pendidikan Di Indonesia. *Innovative: Journal Of …*. http://j-innovative.org/index.php/Innovative/article/view/11544",0,artificial intelligence,"A Ulimaz, D Cahyono, E Dhaniswara… - Innovative: Journal Of …, 2024 - j-innovative.org",
Studi komparasi dan analisis swot pada implementasi kecerdasan buatan (Artificial Intelligence) di Indonesia,KR Ririh; N Laili; A Wicaksono…,… Comparative Study and SWOT Analysis of Artificial Intelligence Implementation in Indonesia. Artificial Intelligence (AI) or artificial intelligence has been developed rapidly in the last …,2020,2020,J@ ti Undip: Jurnal …,https://ejournal.undip.ac.id/index.php/jgti/article/view/29183,https://ejournal.undip.ac.id/index.php/jgti/article/download/29183/17318,J@ ti Undip: Jurnal …,"KR Ririh, N Laili, & A Wicaksono…. (2020). Studi komparasi dan analisis swot pada implementasi kecerdasan buatan (Artificial Intelligence) di Indonesia. *J@ ti Undip: Jurnal …*. https://ejournal.undip.ac.id/index.php/jgti/article/view/29183",0,artificial intelligence,"KR Ririh, N Laili, A Wicaksono… - J@ ti Undip: Jurnal …, 2020 - ejournal.undip.ac.id",
Kerangka kerja sistem kecerdasan buatan dalam meningkatkan kompetensi sumber daya manusia Indonesia,Y Devianto; S Dwiasnati,"… dalam penciptaan kecerdasan buatan, tetapi bagian ini akan menjelaskan bagaimana peran kecerdasan buatan dalam meningkatkan kopentensi SDM. Kecerdasan buatan salah satu …",2020,2020,InComTech: Jurnal Telekomunikasi dan …,https://www.academia.edu/download/108930797/3337.pdf,https://www.academia.edu/download/108930797/3337.pdf,InComTech: Jurnal Telekomunikasi dan …,Y Devianto & S Dwiasnati. (2020). Kerangka kerja sistem kecerdasan buatan dalam meningkatkan kompetensi sumber daya manusia Indonesia. *InComTech: Jurnal Telekomunikasi dan …*. https://www.academia.edu/download/108930797/3337.pdf,0,kecerdasan buatan,"Y Devianto, S Dwiasnati - InComTech: Jurnal Telekomunikasi dan …, 2020 - academia.edu",
Prospek kecerdasan buatan sebagai subjek hukum perdata di Indonesia,FL Amboro; K Komarhana,"… kecerdasan buatan dan pengaturannya, serta prospek … Kedudukan kecerdasan buatan masih belum diketahui secara … kedudukan kecerdasan buatan di mata hukum perdata Indonesia. …",2021,2021,Law Review,https://www.academia.edu/download/99994576/pdf.pdf,https://www.academia.edu/download/99994576/pdf.pdf,Law Review,FL Amboro & K Komarhana. (2021). Prospek kecerdasan buatan sebagai subjek hukum perdata di Indonesia. *Law Review*. https://www.academia.edu/download/99994576/pdf.pdf,0,kecerdasan buatan,"FL Amboro, K Komarhana - Law Review, 2021 - academia.edu",
